,City Name,Country,Latitude,Longitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
0,Camacha,PT,33.08,-16.33,16.0,63,40,6.2,1526157000
1,Kodiak,US,39.95,-94.76,28.0,58,90,5.1,1526154780
2,Miri,NG,10.31,9.75,20.0,96,80,2.41,1526159875
3,Calvinia,ZA,-31.47,19.78,3.15,78,0,1.21,1526159875
4,Albany,US,42.65,-73.75,8.21,93,90,1.5,1526159520
5,Arraial do Cabo,BR,-22.97,-42.02,28.63,61,0,2.6,1526158800
6,Chifeng,CN,42.27,118.96,8.75,92,0,1.41,1526159877
7,Castro,CL,-42.48,-73.76,11.48,96,92,2.86,1526159878
8,Hilo,US,19.71,-155.08,23.82,78,90,1.5,1526158560
9,Hithadhoo,MV,-0.6,73.08,26.63,100,88,1.96,1526159878
10,Port Alfred,ZA,-33.59,26.89,16.5,100,92,5.11,1526159879
11,Jamestown,AU,-33.21,138.6,5.63,88,36,3.11,1526159769
12,Bethel,US,60.79,-161.76,4.0,93,90,12.3,1526158380
13,Ushuaia,AR,-54.81,-68.31,3.0,64,40,2.6,1526158800
14,Antalaha,MG,-14.9,50.28,23.13,100,80,3.46,1526159881
15,Nemuro,JP,43.32,145.57,7.15,92,64,2.61,1526159881
16,East London,ZA,-33.02,27.91,19.15,100,12,5.96,1526159881
17,Mataura,NZ,-46.19,168.86,-2.93,76,0,1.21,1526159882
18,Dikson,RU,73.51,80.55,-8.0,98,80,7.21,1526159882
19,Gamba,CN,28.28,88.52,-13.63,59,0,1.46,1526159882
20,Sao Filipe,CV,14.9,-24.5,21.33,99,0,5.46,1526159883
21,Rikitea,PF,-23.12,-134.97,26.25,100,12,2.66,1526159883
22,Puerto Cabezas,NI,14.04,-83.39,31.0,74,40,3.1,1526155200
23,Talnakh,RU,69.49,88.39,-16.63,67,0,2.41,1526159884
24,Merauke,ID,-8.49,140.4,25.48,100,48,4.66,1526159884
25,Den Helder,NL,52.96,4.76,17.29,72,90,4.6,1526158500
26,Chokurdakh,RU,70.62,147.9,-12.65,92,0,2.06,1526159885
27,Sao Joao da Barra,BR,-21.64,-41.05,27.0,65,0,2.6,1526158800
28,Tasiilaq,GL,65.61,-37.64,0.0,98,75,7.7,1526158200
29,Lebu,ET,8.96,38.73,11.73,50,0,2.56,1526159886
30,Cidreira,BR,-30.17,-50.22,18.48,74,32,4.31,1526159886
31,Torbay,CA,47.66,-52.73,7.0,45,20,8.7,1526155200
32,Saint-Pierre,FR,48.95,4.24,14.55,93,88,3.6,1526158800
33,Busselton,AU,-33.64,115.35,18.85,100,80,3.11,1526159888
34,Tiarei,PF,-17.53,-149.33,30.0,66,40,5.7,1526158800
35,Umm Lajj,SA,25.02,37.27,23.35,83,0,3.36,1526159888
36,Yar-Sale,RU,66.83,70.83,-11.98,81,36,1.76,1526159889
37,Ponta Delgada,PT,37.73,-25.67,16.0,67,75,3.1,1526157000
38,Anito,PH,12.45,125.29,27.93,100,56,4.41,1526159890
39,Hermanus,ZA,-34.42,19.24,8.0,91,64,1.01,1526159890
40,Atuona,PF,-9.8,-139.03,27.43,100,0,7.21,1526159890
41,Chilca,PE,-13.22,-72.34,18.0,34,75,4.6,1526158800
42,Erzin,TR,36.95,36.2,18.82,93,75,1.0,1526156400
43,Bluff,AU,-23.58,149.07,7.03,87,12,3.01,1526159892
44,Karasburg,NA,-28.01,18.75,8.1,70,0,3.91,1526159893
45,Alice Springs,AU,-23.7,133.88,3.0,74,0,1.0,1526158800
46,Ouango,CD,4.31,22.55,22.93,93,44,1.51,1526159894
47,Butaritari,KI,3.07,172.79,25.23,100,92,1.61,1526159894
48,Kyaukse,MM,21.6,96.13,20.15,98,88,1.11,1526159895
49,Palenque,MX,17.51,-91.98,32.25,60,12,1.86,1526159895
50,Sibolga,ID,1.74,98.78,19.85,100,8,0.86,1526159895
51,Puerto Ayora,EC,-0.74,-90.35,28.0,69,40,8.2,1526158800
52,Nishihara,JP,35.74,139.53,17.27,82,75,1.41,1526158560
53,Kavaratti,IN,10.57,72.64,28.53,100,92,1.61,1526159896
54,Fairbanks,US,64.84,-147.72,12.33,27,90,3.1,1526158680
55,Langres,FR,47.87,5.33,14.0,76,80,10.3,1526158800
56,Airai,TL,-8.93,125.41,20.9,86,56,1.11,1526159897
57,Tiksi,RU,71.64,128.87,-10.75,89,68,3.21,1526159898
58,Kaduna,NG,10.52,7.44,25.35,78,12,2.96,1526159886
59,Flinders,AU,-34.58,150.85,13.0,62,90,6.7,1526155200
60,Dingle,PH,11.0,122.67,23.48,97,12,2.51,1526159898
61,Vaini,IN,15.34,74.49,23.0,93,12,1.16,1526159899
62,Parole,US,38.98,-76.54,28.87,83,1,5.7,1526158680
63,Kandrian,PG,-6.21,149.55,23.63,98,12,1.06,1526159899
64,Punta Arenas,CL,-53.16,-70.91,4.0,86,40,3.1,1526158800
65,New Norfolk,AU,-42.78,147.06,10.0,87,40,4.1,1526158800
66,Timaru,NZ,-44.39,171.25,3.93,100,88,1.36,1526159900
67,Labuhan,ID,-2.54,115.51,23.28,95,80,0.96,1526159901
