City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,east london,0,ZA,1525644315,100,-33.02,27.91,73.55,10.76
1,codrington,92,AU,1525644315,78,-28.95,153.24,63.74,3.94
2,big bend,0,SZ,1525644316,78,-26.79,31.94,51.95,2.15
3,thompson,75,CA,1525640400,32,55.74,-97.86,68.0,11.41
4,mataura,92,NZ,1525644316,77,-46.19,168.86,53.03,24.96
5,busselton,0,AU,1525644316,100,-33.64,115.35,56.9,4.72
6,ushuaia,0,AR,1525640400,75,-54.81,-68.31,44.6,13.44
7,arica,0,CL,1525640400,64,-18.48,-70.32,69.8,10.29
8,mar del plata,0,AR,1525644317,71,-46.43,-67.52,54.92,3.27
9,labuhan,8,ID,1525644317,94,-2.54,115.51,72.83,2.71
10,ribeira grande,0,PT,1525644317,95,38.52,-28.7,65.9,9.19
11,airai,0,TL,1525644317,85,-8.93,125.41,61.22,2.04
12,nakonde,0,ZM,1525644318,86,-9.33,32.75,64.28,10.42
13,butaritari,8,KI,1525644318,100,3.07,172.79,83.27,7.74
14,jamestown,44,AU,1525644128,55,-33.21,138.6,51.41,12.55
15,port alfred,8,ZA,1525644318,96,-33.59,26.89,68.15,10.65
16,evensk,12,RU,1525644319,92,61.92,159.24,30.98,2.04
17,husavik,0,CA,1525644319,74,50.56,-96.99,62.12,5.73
18,luderitz,0,NA,1525644320,70,-26.65,15.16,65.72,9.42
19,lebu,64,ET,1525644320,66,8.96,38.73,54.29,5.61
20,tiznit,92,MA,1525644181,100,29.7,-9.73,58.07,8.08
21,bubaque,0,GW,1525640400,74,11.28,-15.83,78.8,12.75
22,comodoro rivadavia,0,AR,1525640400,76,-45.87,-67.48,51.8,2.24
23,vieques,40,PR,1525640160,65,18.43,-65.83,82.4,16.11
24,port dover,90,CA,1525640400,58,42.79,-80.2,57.2,13.87
25,hithadhoo,80,MV,1525644324,100,-0.6,73.08,80.12,3.38
26,rikitea,92,PF,1525644324,100,-23.12,-134.97,77.96,9.42
27,hermanus,76,ZA,1525644324,85,-34.42,19.24,55.28,2.59
28,puerto ayora,75,EC,1525640400,70,-0.74,-90.35,84.2,18.34
29,coquimbo,0,CL,1525640400,72,-29.95,-71.34,62.6,3.36
30,atuona,56,PF,1525644325,99,-9.8,-139.03,81.83,11.65
31,brae,92,GB,1525641600,93,60.4,-1.35,50.0,17.22
32,kapaa,40,US,1525640160,65,22.08,-159.32,78.8,17.22
33,bredasdorp,80,ZA,1525644325,98,-34.53,20.04,61.85,14.12
34,gizo,20,IL,1525643400,29,31.8,34.94,87.8,16.11
35,zavodouspenskoye,75,RU,1525642200,86,56.86,65.02,41.0,4.47
36,yellowknife,75,CA,1525640400,46,62.45,-114.38,60.8,24.16
37,fortuna,0,ES,1525642200,82,38.18,-1.13,64.4,2.24
38,albany,90,US,1525643640,77,42.65,-73.75,60.8,3.36
39,tabou,64,CI,1525644327,99,4.42,-7.36,83.45,7.4
40,hilo,40,US,1525640160,65,19.71,-155.08,82.4,8.05
41,hobart,75,AU,1525642200,62,-42.88,147.33,57.2,13.87
42,cape town,0,ZA,1525640400,87,-33.93,18.42,60.8,5.82
43,canutama,44,BR,1525644328,75,-6.53,-64.38,84.08,3.83
44,fort nelson,40,CA,1525640400,36,58.81,-122.69,71.6,16.11
45,cabo san lucas,20,MX,1525639320,35,22.89,-109.91,87.8,3.71
46,bilma,0,NE,1525644328,16,18.69,12.92,78.86,6.62
47,dickinson,1,US,1525640160,21,46.88,-102.79,78.8,4.7
48,faanui,44,PF,1525644329,100,-16.48,-151.75,81.74,13.67
49,nyimba,88,ZM,1525644329,97,-14.56,30.81,64.28,2.93
50,flin flon,20,CA,1525640400,22,54.77,-101.88,77.0,12.75
51,rantepao,48,ID,1525644329,100,-2.97,119.9,64.82,1.25
52,canmore,75,CA,1525640400,26,51.09,-115.35,69.8,4.7
53,saint-augustin,0,FR,1525642200,82,44.83,-0.61,64.4,4.7
54,ugoofaaru,56,MV,1525644330,100,5.67,73.0,84.35,9.42
55,qaanaaq,8,GL,1525644330,91,77.48,-69.36,6.95,3.71
56,kharp,48,RU,1525644330,91,66.82,65.8,19.28,5.95
57,santa maria,75,BR,1525640400,83,-29.69,-53.81,73.4,11.41
58,mount gambier,76,AU,1525644332,64,-37.83,140.78,59.33,11.77
59,svetlogorsk,75,RU,1525640400,29,53.14,59.15,51.8,13.42
60,sitka,44,US,1525644332,24,37.17,-99.65,90.11,4.83
61,puerto baquerizo moreno,75,EC,1525640400,66,-0.9,-89.6,86.0,12.75
62,delemont,0,CH,1525643400,59,47.36,7.34,62.6,5.82
63,tuktoyaktuk,90,CA,1525640400,72,69.44,-133.03,14.0,3.36
64,rocha,44,UY,1525644333,78,-34.48,-54.34,66.35,9.98
65,thunder bay,75,CA,1525640400,33,48.41,-89.26,57.2,12.75
66,presidencia roque saenz pena,88,AR,1525644333,86,-26.79,-60.44,74.09,4.61
67,roswell,1,US,1525643460,7,33.39,-104.52,89.6,14.99
68,chifeng,0,CN,1525644333,43,42.27,118.96,39.8,3.15
69,san jose,8,PH,1525644334,99,15.79,120.99,69.32,1.92
70,bonthe,20,SL,1525644334,84,7.53,-12.5,80.93,3.94
71,rangapara,44,IN,1525644335,90,26.82,92.69,59.87,1.7
72,victoria,75,BN,1525642200,94,5.28,115.24,80.6,1.12
73,chokurdakh,92,RU,1525644335,94,70.62,147.9,21.8,9.98
74,saint george,75,GR,1525639800,88,39.45,22.34,62.6,2.24
75,saint-philippe,1,CA,1525643700,45,45.36,-73.48,64.4,6.93
76,izumo,75,JP,1525642200,93,35.37,132.75,62.6,13.11
77,nador,20,MA,1525642200,88,35.17,-2.93,62.6,2.24
78,paamiut,8,GL,1525644338,100,61.99,-49.67,30.8,23.4
79,port elizabeth,75,US,1525643640,52,39.31,-74.98,68.0,5.82
80,suntar,0,RU,1525644338,95,62.16,117.65,37.73,5.06
81,hornslet,0,DK,1525641600,76,56.32,10.32,51.8,2.24
82,vaini,44,IN,1525644339,91,15.34,74.49,74.72,4.05
83,bluff,92,AU,1525644339,89,-23.58,149.07,64.46,11.54
84,meulaboh,20,ID,1525644339,100,4.14,96.13,78.5,3.83
85,dingle,24,PH,1525644339,95,11.0,122.67,73.1,3.71
86,kodiak,1,US,1525639980,23,39.95,-94.76,87.8,9.17
87,new norfolk,75,AU,1525642200,62,-42.78,147.06,57.2,13.87
88,padang,56,ID,1525644340,100,-0.92,100.36,84.53,6.96
89,tabas,20,IR,1525644340,52,33.6,56.92,61.94,2.59
90,chuy,0,UY,1525644263,85,-33.69,-53.46,66.98,11.99
91,cherskiy,64,RU,1525644341,84,68.75,161.3,21.08,2.71
92,srednekolymsk,88,RU,1525644341,68,67.46,153.71,35.21,3.15
93,punta arenas,75,CL,1525640400,85,-53.16,-70.91,46.4,10.29
94,kampot,20,KH,1525644341,95,10.62,104.18,74.36,2.93
95,vylkove,12,UA,1525644341,43,45.4,29.58,72.11,16.02
96,upernavik,64,GL,1525644342,100,72.79,-56.15,13.34,2.59
97,ust-kuyga,48,RU,1525644342,85,70.0,135.55,18.11,7.18
98,kahului,75,US,1525640160,69,20.89,-156.47,78.8,16.11
99,kaitangata,12,NZ,1525644342,72,-46.28,169.85,53.12,31.34
100,linjiang,0,CN,1525644342,56,41.81,126.91,38.0,4.94
101,san rafael,92,AR,1525644343,87,-34.61,-68.33,59.15,4.16
102,lorengau,36,PG,1525644343,100,-2.02,147.27,82.01,7.4
103,broome,0,GB,1525641600,71,52.47,1.45,60.8,1.12
104,saskylakh,0,RU,1525644344,66,71.97,114.09,5.78,4.72
105,matagami,8,NG,1525644344,93,9.67,8.4,70.67,3.49
106,cockburn town,80,TC,1525644344,96,21.46,-71.14,79.85,24.85
107,hambantota,56,LK,1525644344,100,6.12,81.12,81.38,7.52
108,mokhsogollokh,0,RU,1525644344,87,61.4,128.95,42.68,2.37
109,tiksi,0,RU,1525644345,73,71.64,128.87,8.3,2.93
110,strezhevoy,0,RU,1525642200,100,60.73,77.6,21.2,2.24
111,cidreira,76,BR,1525644345,83,-30.17,-50.22,70.67,12.77
112,sola,40,NO,1525641600,53,58.89,5.65,51.8,8.05
113,damaturu,0,NG,1525644345,42,11.75,11.96,83.99,4.61
114,oktyabrskoye,44,RU,1525644345,67,56.73,85.44,16.31,2.48
115,mao,75,DO,1525640400,83,19.55,-71.08,80.6,18.34
116,arraial do cabo,0,BR,1525640400,83,-22.97,-42.02,75.2,6.93
117,peruibe,68,BR,1525644346,100,-24.32,-47.0,74.54,9.31
118,kahta,0,TR,1525641600,59,37.78,38.62,66.2,5.82
119,torbay,40,CA,1525640400,53,47.66,-52.73,51.8,23.04
120,ambulu,48,ID,1525644347,100,-8.35,113.61,77.33,7.63
121,marsh harbour,20,BS,1525644347,100,26.54,-77.06,77.06,9.53
122,los andes,40,CL,1525640400,43,-32.83,-70.6,69.8,10.29
123,port-gentil,75,GA,1525640400,83,-0.72,8.78,82.4,6.93
124,lagoa santa,75,BR,1525640400,68,-19.64,-43.9,75.2,5.82
125,saldanha,8,PT,1525644348,82,41.42,-6.55,59.15,2.37
126,georgetown,40,GY,1525640400,74,6.8,-58.16,82.4,13.87
127,leh,92,IN,1525644348,94,34.16,77.58,19.82,1.59
128,berlevag,40,NO,1525639800,69,70.86,29.09,39.2,25.28
129,dipalpur,68,PK,1525644348,50,30.67,73.65,77.33,11.99
130,luang prabang,48,LA,1525644349,86,19.89,102.14,73.64,2.93
131,khatanga,8,RU,1525644349,57,71.98,102.47,2.9,8.97
132,nicoya,40,CR,1525640400,49,10.15,-85.45,93.2,12.75
133,muros,0,ES,1525642200,63,42.77,-9.06,62.6,2.24
134,poum,88,MK,1525644349,98,41.28,20.71,54.29,1.81
135,sao joao del rei,0,BR,1525640400,68,-21.14,-44.26,66.2,2.24
136,namibe,0,AO,1525644350,100,-15.19,12.15,75.26,11.88
137,norman wells,20,CA,1525640400,46,65.28,-126.83,50.0,17.22
138,lahijan,0,IR,1525640400,93,37.21,50.0,64.4,4.7
139,tres palos,75,MX,1525639560,66,16.83,-99.78,86.0,8.05
